medica_name,category,category_label,purechain_url,image_url,image_filename,first_line_description,note
Hexarelin 5mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/hexarelin-5mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Hexarelin.png,Hexarelin_5mg.png,"""Hexarelin (5mg)"" (5 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
KPV 10mg,A,MISSING - needs to be ADDED to medicaplanet,,,,(not available on purechain),NOT FOUND as standalone on purechainresearch.com (only as part of Klow bundle). Source elsewhere.
MOTS-c 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/mots-c-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/MOTs-C.png,MOTS-c_10mg.png,"""MOTs-C (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
Oxytocin 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/oxytocin-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Oxytocin-2.png,Oxytocin_10mg.png,"""Oxytocin (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
PE-22-28 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/pe-22-28-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/PE-22-28.png,PE-22-28_10mg.png,"""PE-22-28 (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
Retatrutide 5mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/retatrutide/,https://purechainresearch.com/wp-content/uploads/2025/12/Retatrutide.png,Retatrutide_5mg.png,"""Retatrutide"" (5 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Purechain has 2 'Retatrutide' pages without dose labels. Using $101 version for 5mg.
Retatrutide 20mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/glp-1-r-3/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-R.png,Retatrutide_20mg.png,"""GLP-1 R (24 mg)"" (24 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Closest dose: purechain has GLP-1 R 24mg (you want 20mg). GLP-1 R = Retatrutide on purechain.
Semax 30mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/semax-30mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Semax.png,Semax_30mg.png,"""Semax (30mg)"" (30 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
Sermorelin 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/sermorelin-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Sermorelin.png,Sermorelin_10mg.png,"""Sermorelin (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
Tesofensine 500mcg,A,MISSING - needs to be ADDED to medicaplanet,,,,(not available on purechain),NOT FOUND on purechainresearch.com. Source elsewhere.
Tirzepatide 5mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/glp-1-t/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-T.png,Tirzepatide_5mg.png,"""GLP-1 T (5 mg)"" (5 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 T = Tirzepatide on purechain. Exact dose match.
Tirzepatide 30mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/glp-1-t-4/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-T.png,Tirzepatide_30mg.png,"""GLP-1 T (30 mg)"" (30 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 T = Tirzepatide on purechain. Exact dose match.
Cagrilintide 5mg + Semaglutide 5mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/cagrilintide-5mgsemaglutide-5mg/,https://purechainresearch.com/wp-content/uploads/2026/01/Cagrilintide-5mgSemaglutide-5mg.png,Cagrilintide_5mg_+_Semaglutide_5mg.png,"""Cagrilintide 5mg+Semaglutide 5mg"" (10mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match - has dedicated combo image.
Melanotan II 10mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/mt-ii-melanotan-ii-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/MT-II-Melatonan-II.png,Melanotan_II_10mg.png,"""MT-II (Melanotan II) (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match. Note purechain has typo in filename (Melatonan instead of Melanotan).
Semaglutide 5mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/glp-1-s-2/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-S.png,Semaglutide_5mg.png,"""GLP-1 S (5 mg)"" (5 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 S = Semaglutide on purechain. Exact dose match.
Semaglutide 10mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/glp-1-s-3/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-S.png,Semaglutide_10mg.png,"""GLP-1 S (10 mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 S = Semaglutide on purechain. Exact dose match.
Semaglutide 20mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/glp-1-s-4/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-S.png,Semaglutide_20mg.png,"""GLP-1 S (20 mg)"" (20 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 S = Semaglutide on purechain. Exact dose match.
TB-500 10mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/thymosin-beta-4-tb500-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Thymosin-Beta-4-B500.png,TB-500_10mg.png,"""Thymosin Beta 4 (TB500) (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",TB-500 = Thymosin Beta 4 on purechain. Exact dose match.
Tirzepatide 10mg,B,"WRONG PIC - exists on medicaplanet, image needs replacement",https://purechainresearch.com/product/glp-1-t-2/,https://purechainresearch.com/wp-content/uploads/2025/12/GLP-1-T.png,Tirzepatide_10mg.png,"""GLP-1 T (10 mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",GLP-1 T = Tirzepatide. (Sheet noted pic was missing - now provided.)
